URL,名称,住所,最寄駅,施工年月,市区
https://db.self-in.com/mansion/1632214.html,アイランドシティ　オーシャン＆フォレストタワーレジデンス,福岡県福岡市東区香椎照葉6丁目,['西鉄バス「照葉北小学校前」バス停より 徒歩1分'],2022年11月,福岡市東区
https://db.self-in.com/mansion/1426398.html,エイリックスタイル 箱崎駅南フォリア,福岡県福岡市東区郷口町10番19号,['箱崎駅より 徒歩6分'],2022年11月,福岡市東区
https://db.self-in.com/mansion/1528998.html,アクタス福岡県庁前グランネクスト,福岡県福岡市東区馬出5丁目12番5号,"['馬出九大病院前駅より 徒歩5分', '箱崎宮前駅より 徒歩6分', '吉塚駅より 徒歩12分']",2022年9月,福岡市東区
https://db.self-in.com/mansion/1421953.html,ファーネスト千早駅南ルクシア,福岡県福岡市東区若宮5丁目3番52号,['西鉄バス「若宮田（ハローデイ前）」バス停より 徒歩1分'],2022年7月,福岡市東区
https://db.self-in.com/mansion/1415725.html,MJRザ・ガーデン香椎,福岡県福岡市東区香椎浜4丁目5番1号,['千早駅より 徒歩16分'],2022年2月,福岡市東区
https://db.self-in.com/mansion/1434167.html,照葉ザ・タワー,福岡県福岡市東区香椎照葉7丁目27番11号,['西鉄バス「照葉北小学校前」バス停より 徒歩4分'],2022年1月,福岡市東区
https://db.self-in.com/mansion/1420174.html,アルファスマート九産大前駅,福岡県福岡市東区唐原4丁目,"['九産大前駅より 徒歩7分', '唐の原駅より 徒歩8分', '西鉄バス「大名」バス停より 徒歩4分']",2021年10月,福岡市東区
https://db.self-in.com/mansion/1525325.html,サヴォイラコートワジー,福岡県福岡市東区馬出1丁目3番11号,"['吉塚駅より 徒歩4分', '馬出九大病院前駅より 徒歩7分']",2021年9月,福岡市東区
https://db.self-in.com/mansion/1399785.html,サンパーク箱崎東グラッセ,福岡県福岡市東区原田2丁目18番23号,"['箱崎駅より 徒歩10分', '西鉄バス「原田1丁目」バス停より 徒歩5分']",2021年9月,福岡市東区
https://db.self-in.com/mansion/1423251.html,サンパーク箱崎駅前グラッセ,福岡県福岡市東区箱崎1丁目36番26号,"['箱崎駅より 徒歩5分', '箱崎宮前駅より 徒歩5分']",2021年3月,福岡市東区
https://db.self-in.com/mansion/1423122.html,サンパーク香椎駅前グラッセ,福岡県福岡市東区香椎駅前3丁目33番18号,['香椎駅より 徒歩6分'],2021年2月,福岡市東区
https://db.self-in.com/mansion/1423010.html,モントーレ香椎浜サーフタワーセンターコート,福岡県福岡市東区香椎浜3丁目3番5号,"['西鉄バス「香椎浜北公園」バス停より 徒歩2分', '西鉄香椎駅より 徒歩17分']",2020年12月,福岡市東区
https://db.self-in.com/mansion/1423028.html,ルグラン福岡東,福岡県福岡市東区多の津5丁目25番12号,['西鉄「流通センター公園前」バス停より 徒歩3分'],2020年12月,福岡市東区
https://db.self-in.com/mansion/1423036.html,グランフォーレ千早マークスクエア　イーストウイング,福岡県福岡市東区千早4丁目14番26号,['西鉄千早駅より 徒歩4分'],2020年11月,福岡市東区
https://db.self-in.com/mansion/1422866.html,フォレストプレイス香椎照葉ザテラス,福岡県福岡市東区香椎照葉6丁目27番31号,"['香椎花園前駅より 徒歩30分', '西鉄バス「照葉小中学校北口」バス停より 徒歩5分']",2020年8月,福岡市東区
https://db.self-in.com/mansion/1412354.html,MJR千早ブランシエラ,福岡県福岡市東区千早5丁目11番26号,['香椎宮前駅より 徒歩1分'],2020年6月,福岡市東区
https://db.self-in.com/mansion/1430806.html,アルファシオフリード,福岡県福岡市東区東浜1丁目14番56号,"['箱崎宮前駅より 徒歩14分', '馬出九大病院前駅より 徒歩17分', '吉塚駅より 徒歩22分']",2020年6月,福岡市東区
https://db.self-in.com/mansion/1384085.html,センターマークスレジデンス,福岡県福岡市東区香椎照葉5丁目1番12号,['西鉄バス「香椎照葉五丁目」バス停より 徒歩4分'],2020年6月,福岡市東区
https://db.self-in.com/mansion/1412338.html,アーバンパレス香椎照葉,福岡県福岡市東区香椎照葉3丁目1番,['西鉄バス「アイランドシティ中央公園前」バス停より 徒歩2分'],2020年3月,福岡市東区
https://db.self-in.com/mansion/1412498.html,グランフォーレ千早プレミア,福岡県福岡市東区千早5丁目32番10号,['香椎宮前駅より 徒歩1分'],2019年11月,福岡市東区
