URL,名称,住所,最寄駅,施工年月,市区,lat,lng
https://db.self-in.com/mansion/1632214.html,アイランドシティ　オーシャン＆フォレストタワーレジデンス,福岡県福岡市東区香椎照葉6丁目,['西鉄バス「照葉北小学校前」バス停より 徒歩1分'],2022-11,福岡市東区,33.6689177,130.4172468
https://db.self-in.com/mansion/1426398.html,エイリックスタイル 箱崎駅南フォリア,福岡県福岡市東区郷口町10番19号,['箱崎駅より 徒歩6分'],2022-11,福岡市東区,33.6155005,130.4291887
https://db.self-in.com/mansion/1528998.html,アクタス福岡県庁前グランネクスト,福岡県福岡市東区馬出5丁目12番5号,"['馬出九大病院前駅より 徒歩5分', '箱崎宮前駅より 徒歩6分', '吉塚駅より 徒歩12分']",2022-9,福岡市東区,33.6125913,130.4210233
https://db.self-in.com/mansion/1421953.html,ファーネスト千早駅南ルクシア,福岡県福岡市東区若宮5丁目3番52号,['西鉄バス「若宮田（ハローデイ前）」バス停より 徒歩1分'],2022-7,福岡市東区,33.6449774,130.4435655
https://db.self-in.com/mansion/1415725.html,MJRザ・ガーデン香椎,福岡県福岡市東区香椎浜4丁目5番1号,['千早駅より 徒歩16分'],2022-2,福岡市東区,33.6559378,130.4324944
https://db.self-in.com/mansion/1434167.html,照葉ザ・タワー,福岡県福岡市東区香椎照葉7丁目27番11号,['西鉄バス「照葉北小学校前」バス停より 徒歩4分'],2022-1,福岡市東区,33.67259780000001,130.4197946
https://db.self-in.com/mansion/1420174.html,アルファスマート九産大前駅,福岡県福岡市東区唐原4丁目,"['九産大前駅より 徒歩7分', '唐の原駅より 徒歩8分', '西鉄バス「大名」バス停より 徒歩4分']",2021-10,福岡市東区,33.6789626,130.4408098
https://db.self-in.com/mansion/1525325.html,サヴォイラコートワジー,福岡県福岡市東区馬出1丁目3番11号,"['吉塚駅より 徒歩4分', '馬出九大病院前駅より 徒歩7分']",2021-9,福岡市東区,33.6082346,130.4224807
https://db.self-in.com/mansion/1399785.html,サンパーク箱崎東グラッセ,福岡県福岡市東区原田2丁目18番23号,"['箱崎駅より 徒歩10分', '西鉄バス「原田1丁目」バス停より 徒歩5分']",2021-9,福岡市東区,33.6216785,130.4339051
https://db.self-in.com/mansion/1423251.html,サンパーク箱崎駅前グラッセ,福岡県福岡市東区箱崎1丁目36番26号,"['箱崎駅より 徒歩5分', '箱崎宮前駅より 徒歩5分']",2021-3,福岡市東区,33.6179024,130.4231774
https://db.self-in.com/mansion/1423122.html,サンパーク香椎駅前グラッセ,福岡県福岡市東区香椎駅前3丁目33番18号,['香椎駅より 徒歩6分'],2021-2,福岡市東区,33.6637115,130.4435158
https://db.self-in.com/mansion/1423010.html,モントーレ香椎浜サーフタワーセンターコート,福岡県福岡市東区香椎浜3丁目3番5号,"['西鉄バス「香椎浜北公園」バス停より 徒歩2分', '西鉄香椎駅より 徒歩17分']",2020-12,福岡市東区,33.6573221,130.4280941
https://db.self-in.com/mansion/1423028.html,ルグラン福岡東,福岡県福岡市東区多の津5丁目25番12号,['西鉄「流通センター公園前」バス停より 徒歩3分'],2020-12,福岡市東区,33.6237798,130.4503859
https://db.self-in.com/mansion/1423036.html,グランフォーレ千早マークスクエア　イーストウイング,福岡県福岡市東区千早4丁目14番26号,['西鉄千早駅より 徒歩4分'],2020-11,福岡市東区,33.6486585,130.4374726
https://db.self-in.com/mansion/1422866.html,フォレストプレイス香椎照葉ザテラス,福岡県福岡市東区香椎照葉6丁目27番31号,"['香椎花園前駅より 徒歩30分', '西鉄バス「照葉小中学校北口」バス停より 徒歩5分']",2020-8,福岡市東区,33.6689177,130.4172468
https://db.self-in.com/mansion/1412354.html,MJR千早ブランシエラ,福岡県福岡市東区千早5丁目11番26号,['香椎宮前駅より 徒歩1分'],2020-6,福岡市東区,33.65489790000001,130.441899
https://db.self-in.com/mansion/1430806.html,アルファシオフリード,福岡県福岡市東区東浜1丁目14番56号,"['箱崎宮前駅より 徒歩14分', '馬出九大病院前駅より 徒歩17分', '吉塚駅より 徒歩22分']",2020-6,福岡市東区,33.6127167,130.4119666
https://db.self-in.com/mansion/1384085.html,センターマークスレジデンス,福岡県福岡市東区香椎照葉5丁目1番12号,['西鉄バス「香椎照葉五丁目」バス停より 徒歩4分'],2020-6,福岡市東区,33.6638544,130.4164474
https://db.self-in.com/mansion/1412338.html,アーバンパレス香椎照葉,福岡県福岡市東区香椎照葉3丁目1番,['西鉄バス「アイランドシティ中央公園前」バス停より 徒歩2分'],2020-3,福岡市東区,33.6612311,130.4226607
https://db.self-in.com/mansion/1412498.html,グランフォーレ千早プレミア,福岡県福岡市東区千早5丁目32番10号,['香椎宮前駅より 徒歩1分'],2019-11,福岡市東区,33.6544496,130.4421396
https://db.self-in.com/mansion/1632748.html,エンクレスト香椎セピア通り,福岡県福岡市東区香椎駅前2丁目15番45号,"['西鉄香椎駅より 徒歩3分', '香椎駅より 徒歩8分', '香椎宮前駅より 徒歩10分', '西鉄千早駅より 徒歩18分', '千早駅より 徒歩19分', '香椎花園前駅より 徒歩19分']",2019-10,福岡市東区,33.6600731,130.4393772
https://db.self-in.com/mansion/1399065.html,アクタス福岡県庁前グラシア,福岡県福岡市東区馬出5丁目27番27号,"['箱崎宮前駅より 徒歩3分', '馬出九大病院前駅より 徒歩4分', '吉塚駅より 徒歩10分', '西鉄バス「馬出通り」バス停より 徒歩1分']",2019-7,福岡市東区,33.6129078,130.4207898
https://db.self-in.com/mansion/778782.html,パークフロント香椎照葉イースト,福岡県福岡市東区香椎照葉4丁目4番20号,"['香椎花園前駅より 徒歩27分', '照葉ガーデンスクエアバス停より 徒歩4分']",2019-7,福岡市東区,33.6654496,130.4187197
